,name,description,is_preschooler
9,the legend of the panda,"<i>a timeless tale about a beloved animal</i><br /><br />one of the world’s most beloved and reclusive animals, the panda is almost as mysterious today as it was thousands of years ago. the original chinese folk tale of how the panda came to have its distinctive black-and-white coat is a story of love, bravery and the sacrifice of a young shepherdess. illustrator song nan zhang has drawn upon his experiences touring the silk road region of tibet to create the gloriously colourful illustrations that depict the ancient wolong valley in sichuan province. as retold by master historian linda granfield, <i>the legend of the panda</i> is augmented with fascinating information about panda bears and the efforts to save them. a book as beautiful as it is informative.",0
12,mrs. mcnosh and the great big squash,your 3-year-old loves the silliness of outrageous stories.<br /><br />tips for reading and sharing:<br /><br /><br /><br /><br />your child will also love <em> mrs. mcnosh hangs up her wash</em><br /><br /><br />ask your child to describe the story by looking at the pictures<br /><br /><br />make up other silly events that could happen in the story,0
14,atariba & niguayona: a story from the taino people of puerto rico,a taino indian legend about a young boy and his search for the healing caimoni tree.,0
15,shanna's princess show,"preschoolers will revel in the shanna show books that help build self-esteem by making reading and learning fun through ""vivacious role-playing.""* shanna shows young readers how to leap, to count, to curtsy, or to give advice as a ballerina, a teacher, a princess, or a doctor! these books are excellent tools for children who are discovering the joys of reading on their own. and the adorable ducky, dinah-saurus, tiger, and little brother shane make each book ""a rousing success.""*",0
18,big dog and little dog going for a walk: big dog and little dog board books,"in this lovable board book series, dav pilkey captures the humor of everyday canine behavior. the sweet personalities, lasting friendship, and hilarious antics of big dog and little dog will enchant little ones and entertain dog lovers of all ages.<br />",0
20,favorite mother goose rhymes,"reading aloud to baby is one of the great joys of being a parent. and it’s more than just fun; experts say that being read to is a critical component of a child’s ability to read, learn, and create. <i>favorite mother goose rhymes</i> makes the process fun with bedtime classics like jack and jill, little miss muffet, and pop! goes the weasel. this collection features such irresistible characters as bubble-blowing kings, tumbling lizards, and prancing kittens who have lost their mittens. <i>favorite mother goose rhymes</i> gives parents a chance to rediscover old friends in a beautifully illustrated format while letting children enjoy the delights of discovery.",0
21,can you see what i see?: trucks and cars: picture puzzles to search and solve,"search-and-find fun--especially for little ones! from bestselling author/photographer walter wick.<br /><br /><br /><br /> from the photographer of the bestselling i spy books, <i>can you see what i see? : trucks and cars</i> is a rhyming, search-and-find board book--especially written for babies and toddlers. children can look for all sorts of fun vehicles--hot rods, fire trucks, trains, and more--hidden in the colorful photographs on each spread!",0
22,can you see what i see?: dinosaurs: picture puzzles to search and solve,"search-and-find fun--especially for little ones! from bestselling author/photographer walter wick.<br /><br />from the photographer of the bestselling i spy books, can you see dinosaurs? is a rhyming, search-and-find board book--especially for babies and toddlers. children can look for all sorts of dinosaurs--big and small, low and tall, red and brown, up and down, and more!",0
30,biggest bear,"a little boy hunts for the biggest bear in the world and finds it in a twinkling starlight surprise--the great bear constellation--at the end of this heartwarming book!<br /><br />toby thinks his shadow looks like the biggest bear in the world. but dad says there's a much bigger one than that. is it the large chocolate bear in a store? the bear picture toby paints in preschool? the huge stone bear fountain in the park? the tall bear with a top hat at the carnival? or the enormous balloon bear floating above the town? at bedtime, daddy shows toby the biggest bear in the world, who lives above their heads and only comes out at night: the bright group of stars called the great bear! a set of twelve flashing lights illuminates the constellation on the final page.",0
31,my toys/ mis juguetes,"the vibrant colors and large text in this enchanting collection of bilingual board books make learning easy and fun. boldly colored construction paper cutouts on stark white backgrounds introduce the basic concepts of colors, numbers, shapes, and opposites in a way that will engage little ones again and again. text copyright 2004 lectorum publications, inc.",0
37,sleepytime for baby mouse,mommy and daddy help baby mouse get ready for bed. on board pages.,0
45,yes dear,"kay catches a magic golden leaf that creates all kinds of wondrous things, but everyone is too busy to listen to her tell about it.",0
50,spooky night (the nose knows),"the nose knows series is back - in a smaller format and a lower price - $9.99! it's easy to sniff out the answers in this new addition to the nose knows series! children use the finger puppet to search for different objects on each page of these sturdy board books. the finger puppet's magnetic nose locking onto each correct answer with a satisfying click! it's a spooky night, and batty bat is ready to have some fun. kids search for ghosts, monsters, witches, and more as they help batty find all of his spooky friends.",0
54,owen and mzee: best friends,"<div>now the new york times #1 bestseller is available for the youngest readers.<br /><br />this is the true story of two great friends: a baby hippo named owen and a giant tortoise named mzee. in december 2004 a frightened young hippo, separated from his family by the devastating tsunami in southeast asia, adopted an 130-year-old tortoise as his ""mother."" and the tortoise remarkably accepted the baby hippo as his own. owen and mzee are now inseparable and their story has captured hearts everywhere. with bold photographs from the original book and new simple, sweet text, owen and mzee is perfect for young children and families.</div>",0
57,the holes in your nose,"this second book in the my body science series confronts the curiosity children have about the holes in their noses. for an entertaining, informative and hopefully helpful few minutes, read this book to a child. you'll both have fun!",0
58,i eat vegetables!,"a mixture of art, photography, and large, clear type introduces children to fruits and vegetables. printed on heavy-duty card and hand-stitched to ensure maximum longevity, these stunning books go far beyond just naming familiar foods. each spread shows the name of the food alongside a clear photograph against a dramatic painted background. upon opening the full-page foldout to look inside the fruit or vegetable, kids can see which need to be peeled before eating and which have seeds, stones, pits, or other interesting things inside.<br />",0
60,"baby, boo! (amazing baby)","at six months, baby can play with sounds and responses to noises, including speech. what better way than this book to develop early skill with sound? filled with bright color and bold patterns, <i>amazing baby baby, boo!</i> uses rhyming to encourage exploration. sparkling foil paper and a sturdy mirror distinguish this new entry in this best-selling series.",0
74,i love my daddy because ...,familiar phrases from a preschooler's world give a child's-eye view of being an animal baby. many different animal fathers are shown caring for their young.,0
78,just a piggy bank,"mercer mayer tells complex stories with just the right amount of text and fun pictorials, making these books great for both reading aloud and for beginning readers to read alone.",0
87,cliffords bathtime / clifford y la hora del bano,"at first, clifford the small red puppy doesn't want to take a bath. then he finds out how much fun it can be.",0
88,clifford's big red easter,"happy easter, clifford! children will enjoy this story about clifford and emily elizabeth's easter preparations.<br /><br />it's eastertime, and emily elizabeth and clifford are making easter baskets for clifford's friends. there's even a surprise for clifford-- an easter basket filled with extra large treats just for clifford!<br />",0
89,clifford barks!,"clifford the small red puppy and emily elizabeth go for a walk in the park, where clifford barks ""at the birds in the trees/at the bees, at the postman/at whomever he sees!"" full color. 7 spreads.",0
