,name,description,is_preschooler
0,russell's secret,"have you ever heard the words<br />""""you can stay at home and be a baby today""<br />on a school day? <br />russell has. and, boy, is he in for a surprise!",1
1,"oye, hormiguita","the spanish translation of bestseller hey, little ant is now available in paperback.",1
2,dear bunny,"the cutest couple of star-crossed rabbits craft the ultimate love letter with a little help from a family of mice in this charming story. <br /><br />tino and teeny are two lovestruck bunnies living a mere hop, skip, and jump apart. if only they could overcome their shyness and be friends! tino has an idea: leave a tender letter for teeny in the hollow log. soon after, teeny has the same thought. but before each can discover the other's note, it starts to rain. and when a family of cold, wet mice seeks shelter in the log, what better to keep them warm than letters, chewed, chomped, and shredded just so?<br /><br />luckily, the sun returns and, realizing what they've done, the matchmaking mice help tino and teeny piece together their true feelings.",1
3,a revolutionary field trip: poems of colonial america,"the class is embarking on the field trip of a lifetime, as they head to colonial america. this spirited collection of poetry brings our country's birth to life. with drummers drumming, native americans powwowing, and the signers of the declaration inscribing independence forevermore, the class leaves no cobblestone unturned. and now you can discover for yourself how things ""really"" were.",1
4,"home for a tiger, home for a bear","you'll learn about the habitats of these and many other animals as you travel around the world meeting all sorts of creatures in their natural environments. while you hop with kangaroos and swing with monkeys, can you find the tiny spider spinning its way through every page?",1
5,dog breath! the horrible trouble with hally tosis (scholastic bookshelf): the horrible trouble with hally tosis,"hally tosis is a very good dog, but she has a very big problem--bad breath. this classic title introduces the importance of good dental hygiene to young children. full color.",1
6,action jackson,"one late spring morning the american artist jackson pollock began work on the canvas that would ultimately come to be known as number 1, 1950 (<i>lavender mist</i>).<br /><br />award-winning authors jan greenberg and sandra jordan use this moment as the departure point for a unique picture book about a great painter and the way in which he worked. their lyrical text, drawn from pollock's own comments and those made by members of his immediate circle, is perfectly complemented by vibrant watercolors by robert andrew parker that honor his spirit of the artist without imitating his paintings.<br /><br />a photographic reproduction of the finished painting, a short biography, a bibliography, and a detailed list of notes and sources that are fascinating reading in their own right make this an authoritative as well as beautiful book for readers of all ages.<br /><br /><i>action jackson</i> is a sibert honor book, a <i>new york times </i>best book of the year, and a <i>publishers weekly</i> best book of the year.",1
7,cinderella bigfoot,"head for the hills! the author and illustrator of ""the teacher from the black lagoon"" and ""the bully brothers"" series are on the loose - running wild on some of the most classic children's tales! in this zany send-up, cinderella's feet are so big that she's considered a safety hazzard and isn't invited to the royal ball. will cinderella's dairy godmother be able to get her invitation and glass sneakers in size 87?",1
8,nursery crimes,"jambo and marva emigrated from france to iowa and opened a small tree nursery.they and their piglets were skilled topiarists. every autumn, they sculpted giant turkey topiaries, for which there was a big demand. one morning, jambo awoke to discover all of their turkeys stolen! things looked grim, but marva had a plan. glowing etchings fill the pages with dramatic images of giant turkey topiaries.",1
10,martin luther king jr. day,"the third monday in january is a time to remember a man who fought for peace and equality. this book discusses dr. martin luther king jr., and the origins of the day named in his honor.",1
